STAY,1F0C8,,,,,,,1F0B6,1F0A2,1F0D7
HIT,1F0C8,,,,,,,1F0B5,1F0D1
HIT,1F0C8,,,,,,,1F0A1,1F0B2
HIT,1F0C8,,,,,,,1F0C1,1F0D3
HIT,1F0C8,,,,,,,1F0A1,1F0B4
HIT,1F0C8,,,,,,,1F0C1,1F0D5
HIT,1F0C8,,,,,,,1F0A1,1F0B6
STAY,1F0C8,,,,,,,1F0C1,1F0D7
STAY,1F0C8,,,,,,,1F0A1,1F0B8
STAY,1F0C8,,,,,,,1F0C1,1F0D9
STAY,1F0C8,,,,,,,1F0A1,1F0AA
STAY,1F0C8,,,,,,,1F0C1,1F0DB
HIT,1F0C8,,,,,,,1F0A2,1F0A2
HIT,1F0C8,,,,,,,1F0C2,1F0D3
HIT,1F0C8,,,,,,,1F0C9,1F0D2
STAY,1F0C8,,,,,,,1F0A4,1F0A8
STAY,1F0C8,,,,,,,1F0AA,1F0AB
STAY,1F0C8,,,,,,,1F0C8,1F0D6
HIT,1F0A5,,,,,,,1F0C5
HIT,1F0A5,,,,,,,1F0C5,1F0B6
STAY,1F0A5,,,,,,,1F0C5,1F0B7
HIT,1F0A5,,,,,,,1F0C1,1F0B6
STAY,1F0A5,,,,,,,1F0C1,1F0B7